Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
NK cells	62/669	7.90881307526269E-22	7.355196159994301E-20	0	0	5.066708643487411	246.1857708744681	WIPF1;NAB1;CELF2;CTSW;CHD1;MS4A4B;DOCK10;PREX1;CYSLTR2;IL18RAP;EPSTI1;ARIH2;RIOK1;JAK1;PPP1R16B;SS18;MBNL1;PPP1R12A;KLF13;IFNGR1;TCF12;ARAP2;SERPINB9;SYTL3;IFNG;LCK;XCL1;HECA;DOCK2;NSMAF;ANKRD11;PPM1H;ZC3HAV1;ZFP36L2;BCL2L11;CCL5;TBX21;STAT4;GM2682;ZSWIM6;FYN;KLRC1;SKIL;RBM39;RABGAP1L;AW112010;NKG7;NFATC1;FOXN3;MARCH7;ARHGAP26;PTPRC;STAG2;FASL;SERPINB6B;BCL2;AAK1;KLRD1;CD247;PDE7A;FRYL;IL18R1
thymocyte SP CD4+	21/203	5.487143036512799E-9	2.5515215119784516E-7	0	0	5.284779050736497	100.5210324718052	ITK;CD82;SATB1;SH2D2A;STK39;CD3G;GIMAP4;NUP153;CD3E;IPCEF1;MLLT3;4932438A13RIK;ITPKB;CD2;AKAP13;LCK;CD28;AAK1;CD226;DIP2B;CD247
T-cells foxP3+	15/112	2.7209528288929614E-8	8.434953769568181E-7	0	0	7.014274385408406	122.18654583353114	PRKCH;CELF2;IPCEF1;ETS1;MS4A6B;FAM169B;CD6;PELI1;CTLA4;VPS54;PDCD1;CD247;TNFRSF4;RAPGEF6;AGFG1
macrophage peri LPS thio 1hrs	35/598	2.0319597891277214E-7	4.606669381228019E-6	0	0	2.8868878302144902	44.48432857102938	PPP1R15A;AHNAK;DOT1L;PLEK;TNFAIP3;RORA;LITAF;LYST;TANK;MALT1;PIK3R5;ZFP36;BCL2L11;RGS1;IRAK2;CCL4;NFKBIZ;PDE4B;ITGAV;JUNB;KDM6B;TGIF1;DUSP5;JUN;DUSP2;GADD45B;DUSP1;IFRD1;PNRC1;HIPK2;NFKBIA;KLF6;REL;RAPGEF6;NFKBID
follicular B-cells	35/603	2.4767039684021603E-7	4.606669381228019E-6	0	0	2.860721787940356	43.51491691338191	BTG2;WIPF1;YTHDC1;NEDD9;GIMAP3;GIMAP4;GIMAP5;GIMAP6;ARHGAP15;ETS1;BACH2;FOXO1;ZFP36L1;ABLIM1;SNRNP70;GPBP1;IL21R;PDE4B;GM8369;SF3B1;GRCC10;RBM39;DUSP2;P2RY10;RABGAP1L;ANKRD44;4930523C07RIK;FOXN3;SON;STK17B;ARHGEF3;LTB;PDE7A;RAPGEF6;GAS5
mast cells IgE+antigen 1hr	21/265	5.404545915250173E-7	8.377046168637767E-6	0	0	3.929310545285432	56.70331157526407	KDM6B;TNFAIP8;JUND;GCH1;DENND4A;NFATC1;MARCH7;CHD2;4932438A13RIK;RUNX1;NR4A2;DNAJB1;MED14;PLSCR1;ATXN1;NR4A3;BHLHE40;FOSB;TNFSF8;CD69;NFKBID
lymph nodes	12/90	7.073904493236461E-7	9.398187398157012E-6	0	0	6.936609686609686	98.23406790215138	ITK;GPR132;RABGAP1L;CD4;TBC1D4;EPSTI1;PELI1;GIMAP3;CD247;ARHGAP15;CD3D;JAK1
T-cells CD8+	16/166	9.530242828477559E-7	1.1078907288105163E-5	0	0	4.836386292834891	67.0498481108	ITK;DGKA;TXK;CD8B1;IPCEF1;GRAMD3;MS4A4B;MS4A6B;CD6;CD8A;RNF138;GRAP2;GM2682;GM8369;CD247;UTRN
T-cells CD4+	17/191	1.3394914676332229E-6	1.384141183220997E-5	0	0	4.434762712320655	59.97227410281454	ITK;KLF13;DGKA;TXK;FOXO1;MS4A6B;CD4;CD6;LCK;RNF19A;GM2682;CD28;GM8369;CD247;UTRN;CYTIP;RAPGEF6
mast cells	27/515	3.667162519140549E-5	3.410461142800711E-4	0	0	2.5299563627786297	25.839727672372995	TNFAIP8;WIPF1;SH3KBP1;TXK;SLC3A2;STK4;ZFP36L2;UBASH3B;GRAP2;PIP4K2A;RIOK1;JUNB;PAG1;IL12RB2;STAT5B;H3F3B;PRKCA;SYTL3;NFKB1;RUNX1;INPP4B;BHLHE40;BCL2;ELMO1;CD69;ST6GALNAC3;HCST
adrenal gland	16/245	1.253064738506986E-4	0.001059409278919543	0	0	3.155042239725748	28.347259549809472	SRRM2;SPAG9;GRAMD1B;SLC25A3;CREM;VPS37B;COQ10B;FAM117B;FOSL2;NR4A2;NR4A1;RGS2;SIK1;MALAT1;ARIH1;ABCB1B
macrophage bone marrow 2hr LPS	20/365	2.0856313237962152E-4	0.0016163642759420668	0	0	2.6266065080667214	22.261196107242903	GADD45B;TRAF1;RBPJ;TANK;PNRC1;GLS;NFKBIA;GPR132;KLF6;BCL2L11;IRAK2;ZC3H12A;NFKBIZ;CCL4;REL;PELI1;CCR5;SQSTM1;SKIL;IL12RB2
B-cells GL7negative Alum	20/379	3.400920166546238E-4	0.0024329659652984627	0	0	2.5223366794555107	20.144123146079938	ZCCHC7;RABGAP1L;DDX5;SLC25A3;BTG1;H3F3B;ANKRD11;4930523C07RIK;NFATC1;ZC3HAV1;CHD2;ZFP36L2;IMPACT;ABLIM1;SIK1;RIOK1;OSTF1;SMYD3;GM8369;LUC7L2
macrophage bone marrow 6hr LPS	30/730	9.537367323408338E-4	0.006335536864835539	0	0	1.951966873706004	13.576169477016858	SLFN2;PLEK;PTPRJ;TANK;AFF1;GLS;PIK3R5;IRAK2;CCL5;ZC3H12A;CCL4;CASP4;EPSTI1;JAK2;CCR5;PAG1;AGFG1;PPP1R16B;PTPN1;JUND;IFI203;TRAF1;ARHGAP26;FOSL2;HIPK2;NR4A3;MDFIC;CAMK4;PELI1;IFNAR1
