Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
NK cells	72/669	8.626827809754773E-26	7.764145028779295E-24	0	0	5.263639212227419	303.77691246919983	CYFIP2;WIPF1;NAB1;CELF2;D16ERTD472E;CTSW;CHD1;MS4A4B;DOCK10;PREX1;SEPT6;CYSLTR2;PPP3CC;IL18RAP;EPSTI1;ARIH2;JAK1;PPP1R16B;MBNL1;PPP1R12A;KLF13;IFNGR1;ARAP2;SERPINB9;SYTL3;IFNG;LCK;HECA;DOCK2;NSMAF;PTGER4;ANKRD11;PPM1H;ZC3HAV1;ZFP36L2;UGCG;KLRK1;BCL2L11;CHSY1;CCL5;TBX21;STAT4;GM2682;ZSWIM6;FYN;KLRC1;SKIL;RBM39;AW112010;RABGAP1L;KLRC2;CD160;GZMA;SH2D1A;NKG7;BTBD11;NFATC1;FOXN3;MARCH7;ARHGAP26;SSH2;PTPRC;STAG2;FASL;SERPINB6B;BCL2;AAK1;KLRD1;CD247;PDE7A;FRYL;IL18R1
T-cells CD8+	24/166	5.094929510469837E-12	2.2927182797114266E-10	0	0	6.800269391818688	176.82587686877565	CD96;ITK;DGKA;TXK;LEF1;CD8B1;BTBD11;THADA;ITGAE;IPCEF1;GRAMD3;MS4A4B;TMEM71;MS4A6B;SCML4;CD6;CD8A;RNF138;GRAP2;GM2682;GM8369;CD247;UTRN;MAP4K4
follicular B-cells	45/603	9.280145207123887E-11	2.784043562137166E-9	0	0	3.319950911640954	76.69272134355293	BTG2;SP100;WIPF1;YTHDC1;NEDD9;GIMAP3;GIMAP4;GIMAP5;GIMAP6;ARHGAP15;ETS1;GIMAP7;BACH2;FOXO1;ZFP36L1;ABLIM1;SEPT6;SNRNP70;GPBP1;IL21R;PDE4B;GM8369;GRCC10;RBM39;DUSP2;P2RY10;RABGAP1L;ANKRD44;4930523C07RIK;SHISA5;SEPT1;FOXN3;LAX1;FLI1;KLF2;FOXP1;MAN1A;GPR183;STK17B;ARHGEF3;LTB;PDE7A;RAPGEF6;GAS5;GPR18
thymocyte SP CD4+	23/203	2.0182313785493633E-9	4.5410206017360675E-8	0	0	5.120389580451821	102.51554644032385	ITK;CD82;SATB1;SH2D2A;LEF1;STK39;CD3G;GIMAP4;NUP153;CD3E;IPCEF1;4932438A13RIK;ITPKB;CD2;AKAP13;SEPT6;SCML4;LCK;CD28;AAK1;CD226;DIP2B;CD247
T-cells CD4+	22/191	3.3273000809048295E-9	5.989140145628694E-8	0	0	5.208717703700981	101.67992337757829	ITK;KLF13;DGKA;TXK;LEF1;THADA;FOXO1;TMEM71;MS4A6B;SCML4;CD6;LCK;RNF19A;GPR183;GM2682;CD28;GM8369;CD247;UTRN;CYTIP;RPS10;RAPGEF6
T-cells foxP3+	15/112	1.4578658495332167E-7	2.186798774299825E-6	0	0	6.1218177992846625	96.36428103331622	PTGER4;CD96;PRKCH;CELF2;IPCEF1;GIMAP7;ETS1;MS4A6B;FAM169B;CD6;PELI1;CTLA4;CD247;RAPGEF6;AGFG1
mast cells IgE+antigen 1hr	20/265	1.4450298161314054E-5	1.8578954778832355E-4	0	0	3.240058910162003	36.109793992870436	KDM6B;TNFAIP8;JUND;GCH1;DENND4A;NDUFA3;NFATC1;MARCH7;CHD2;TOB2;4932438A13RIK;NR4A2;DNAJB1;ATXN1;NR4A3;BHLHE40;FOSB;CD69;NFKBID;MAP4K4
macrophage peri LPS thio 1hrs	33/598	2.478295385260861E-5	2.7880823084184685E-4	0	0	2.342470376481176	24.842728715011688	PPP1R15A;AHNAK;PLEK;TNFAIP3;LITAF;LYST;TANK;MALT1;PIK3R5;BCL2L11;CHST11;RGS1;IRAK2;CCL4;NFKBIZ;CCL3;PDE4B;JUNB;KDM6B;TGIF1;DUSP5;JUN;DUSP2;GADD45B;DUSP1;IFRD1;PNRC1;NFKBIA;KLF6;IRF1;REL;RAPGEF6;NFKBID
lymph nodes	10/90	9.040953436732527E-5	9.040953436732528E-4	0	0	4.902777777777778	45.65055239019794	ITK;GPR132;RABGAP1L;EPSTI1;PELI1;GIMAP3;CD247;ARHGAP15;CD3D;JAK1
macrophage bone marrow 2hr LPS	21/365	4.252585024602166E-4	0.0038273265221419493	0	0	2.415499471458774	18.75107150255797	PTGER4;GADD45B;TRAF1;TANK;PNRC1;GLS;NFKBIA;GPR132;KLF6;BCL2L11;IRAK2;ZC3H12A;NFKBIZ;CCL4;REL;PELI1;CCL3;CCR5;SQSTM1;SKIL;IL12RB2
